code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
600153,建发股份,商贸代理,福建,25.27,283520.06,283520.06,11374059.0,9928078.0,104328.02,244897.16,0.86,0.11199999999999999,6.78,1.67,19980616
300085,银之杰,软件服务,深圳,784.44,32636.43,68354.57,119050.5,69017.71,1016.15,20727.07,0.3,0.009000000000000001,1.33,20.94,20100526
002421,达实智能,软件服务,深圳,73.98,45875.35,64239.94,463546.84,270809.94,13889.55,149981.19,2.33,0.051,4.0,3.78,20100603
002724,海洋王,半导体,深圳,104.65,6111.89,40000.0,170210.52,113437.01,44779.98,36891.46,0.92,0.053,3.89,5.68,20141104
002633,申科股份,机械基件,浙江,0.0,8701.87,15000.0,80361.5,47455.53,22186.55,30301.55,2.02,-0.033,3.56,6.02,20111122
002490,山东墨龙,化工机械,山东,536.45,29993.17,79784.84,644643.44,271308.63,164150.61,84950.06,1.06,0.004,3.05,2.74,20101021
600859,王府井,百货,北京,12.36,60159.85,60159.85,1377945.38,715718.13,214122.8,320499.5,5.33,0.311,12.4,1.24,19940506
002250,联化科技,化工原料,浙江,27.56,56192.82,83487.34,603766.5,203565.86,295174.38,92520.05,1.11,0.127,5.09,2.75,20080619
300375,鹏翎股份,汽车配件,天津,38.47,7281.64,18593.19,143136.47,84202.6,35426.14,35162.8,1.89,0.16399999999999998,6.25,4.04,20140127
300202,聚龙股份,专用机械,辽宁,256.52,42022.08,54950.39,182109.31,131341.92,27361.74,9757.1,0.18,0.019,2.9,6.78,20110415
600571,信雅达,软件服务,浙江,194.46,20241.98,21983.96,154941.52,96747.21,5415.77,38902.28,1.77,0.065,4.89,10.4,20021101
002783,凯龙股份,化工原料,湖北,120.29,2087.0,8347.0,165724.42,68571.45,52560.76,52880.7,6.34,0.192,15.41,5.99,20151209
000909,数源科技,综合类,浙江,436.13,29400.0,29400.0,452667.06,416665.53,2248.41,22302.36,0.76,0.012,2.48,8.33,19990507
002414,高德红外,电器仪表,湖北,0.0,46487.69,60000.0,336541.16,181975.11,70965.11,148726.05,2.48,-0.02,4.28,5.75,20100716
600623,华谊集团,汽车配件,上海,67.56,64636.76,211743.09,3268600.75,1485992.5,1078934.38,896984.31,4.24,0.07200000000000001,7.64,2.54,19921204
300260,新莱应材,机械基件,江苏,612.93,4724.25,10005.0,104670.36,65990.93,31553.51,39308.31,3.93,0.013000000000000001,6.47,4.88,20110906
002583,海能达,通信设备,深圳,0.0,84012.63,153769.94,448875.34,266730.0,101870.56,7198.35,0.05,-0.046,1.44,7.85,20110527
600683,京投发展,区域地产,浙江,46.77,74077.75,74077.75,2768683.0,2581403.25,5692.01,32778.12,0.44,0.049,2.73,3.34,19931025
601677,明泰铝业,铝,河南,30.77,40770.23,48275.6,568038.94,363619.41,130832.47,217338.13,4.5,0.11,7.59,1.7,20110919
000150,宜华健康,医疗保健,广东,3.11,33151.21,44780.48,456594.44,358507.47,23985.32,95802.36,2.14,2.149,5.85,4.57,20000807
000655,金岭矿业,普钢,山东,0.0,59534.01,59534.01,344401.69,100890.31,54154.31,48799.8,0.82,-0.136,5.19,1.49,19961128
000859,国风塑业,塑料,安徽,0.0,73944.82,73944.97,185957.11,78481.36,68278.81,58966.25,0.8,-0.013000000000000001,1.88,2.89,19981119
300294,博雅生物,生物制药,江西,97.11,14254.53,26738.48,215458.05,99932.18,31697.47,118967.92,4.45,0.14400000000000002,7.16,7.82,20120308
002271,东方雨虹,其他建材,北京,63.53,56299.08,83069.34,609258.44,389208.16,130870.11,136616.25,1.64,0.067,4.79,3.57,20080910
601009,南京银行,银行,江苏,6.69,576393.06,605872.0,96674192.0,0.0,465881.59,1787922.63,2.95,0.35,8.9,1.05,20070719
600990,四创电子,通信设备,安徽,3198.01,13670.2,13670.2,294398.66,199187.48,13835.73,41637.9,3.05,0.006,7.5,10.79,20040510
600666,奥瑞德,元器件,重庆,217.05,49669.83,76707.89,574826.63,180176.77,95493.24,125088.15,1.63,0.04,2.8,12.43,19930712
600083,博信股份,建筑施工,广东,675.18,22692.27,23000.0,11420.16,8789.19,292.16,9643.53,0.42,0.008,0.23,88.22,19970606
600201,生物股份,生物制药,内蒙,20.18,56894.35,57282.98,277320.5,177756.02,39621.31,5258.81,0.09,0.34,3.95,6.83,19990115
600865,百大集团,百货,浙江,36.46,37624.03,37624.03,176427.36,62843.98,15969.85,23346.42,0.62,0.078,4.01,2.82,19940809
600685,中船防务,船舶,广东,8286.85,54933.58,141350.64,5102589.5,3652689.5,1043482.81,686777.56,4.86,0.001,7.3,3.33,19931028
002659,中泰桥梁,建筑施工,江苏,0.0,31100.0,31100.0,239092.92,111596.36,34687.6,18444.34,0.59,-0.011000000000000001,1.93,9.26,20120309
000987,广州友谊,百货,广东,112.89,53798.39,222383.05,1308804.0,356060.13,13347.2,888943.63,4.0,0.027000000000000003,5.5,2.24,20000718
600658,电子城,园区开发,北京,167.41,58009.73,58009.73,546692.06,435060.56,12717.32,68061.59,1.17,0.015,5.86,1.71,19930524
600830,香溢融通,多元金融,浙江,63.72,45432.26,45432.26,352272.34,148998.97,11687.11,52450.71,1.15,0.036000000000000004,4.4,2.1,19940224
603117,万林股份,仓储物流,江苏,108.49,6000.0,41050.0,361905.09,253917.17,73416.17,41187.98,1.0,0.043,3.36,5.54,20150629
600479,千金药业,中成药,湖南,63.95,30481.91,34875.58,283082.28,199338.52,40882.14,65952.42,1.89,0.06,4.78,3.22,20040312
600895,张江高科,园区开发,上海,30.34,154868.95,154868.95,1784610.63,834106.44,37515.51,264697.41,1.71,0.149,4.96,3.64,19960422
002235,安妮股份,造纸,福建,1662.18,22724.83,29250.0,61750.61,20920.96,20935.92,16990.99,0.58,0.003,1.25,14.5,20080516
002793,东音股份,专用机械,浙江,97.53,2500.0,10000.0,54140.86,30410.88,13218.45,7686.92,0.77,0.155,4.73,12.8,20160415
000539,粤电力Ａ,火力发电,广东,62.04,255390.92,525028.38,7146916.0,1082047.13,4337781.0,500709.84,0.95,0.021,4.53,1.15,19931126
